Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT5G02390	-1.07729059191429	1.26493271312264	-1.407453609188	0.174126896844772	0.313137262027623	-4.91971615514515
AT3G16690	-0.26613475706354	4.30266694042351	-1.40728770282039	0.174175422305763	0.31319780791653	-5.59716860442875
AT5G12230	0.159161676600324	5.02698065457125	1.40718698399139	0.174204886545524	0.313224070997923	-5.73473703923411
AT1G14920	0.214778489941757	4.94155281084321	1.40712149759242	0.174224046050084	0.313231803047826	-5.71892786335716
AT4G34250	0.488244149428835	2.42075158681708	1.40696867486041	0.174268764315296	0.31326955835401	-5.26764042899824
AT3G13750	-0.549241316030514	8.44429826483209	-1.40694815969878	0.174274768065345	0.31326955835401	-5.8552833180992
AT3G27000	0.200302040640583	4.14032299746855	1.40673094869051	0.174338344912028	0.313357120629736	-5.63164431238754
AT4G28460	-1.23678043891833	-1.31273737423128	-1.40634742395281	0.174450646557272	0.313532238846219	-4.57023044083297
AT4G26700	-0.51226663536493	3.54037742328082	-1.40625875154624	0.174476619384236	0.313552185560076	-5.46226854584932
AT5G11740	0.220949230310499	6.98665784640152	1.40615127517786	0.174508104190543	0.313582033614922	-5.86133268099256
AT2G34240	0.547581879100122	-0.544163744320637	1.4056045232109	0.174668343678074	0.313843222360535	-4.71065366749132
AT4G28830	0.229368695460753	3.61232253325894	1.4053965283768	0.174729332775352	0.313926049169387	-5.50090291650026
AT3G54390	0.322799560216963	4.19495504725809	1.40523072408365	0.174777962812312	0.313986658946952	-5.66101478976888
AT3G24760	0.192085339205068	3.68631213168674	1.40514873897927	0.174802012871222	0.314003104501522	-5.52044604463248
AT4G13350	-0.119954542578987	6.52449760215323	-1.4050190238173	0.174840069801313	0.314044706153005	-5.85740178131491
AT5G22630	-0.193838311359225	7.5011738930141	-1.40486056387702	0.174886569125733	0.314076928769912	-5.86260216447076
AT5G52210	-0.136704481395135	4.50435343171034	-1.4048563429579	0.174887807870077	0.314076928769912	-5.65830769071872
AT3G49660	0.31642134657384	2.55508950976131	1.40475393261361	0.174917865145563	0.314090345228711	-5.29614289939752
AT3G46620	-0.235418064332666	5.57792087444799	-1.40472935785352	0.174925078414851	0.314090345228711	-5.80701281682907
AT1G57600	0.225153133409429	4.29650934019908	1.40463717232107	0.17495213915772	0.314112178983454	-5.6450950383168
AT5G11500	-0.17331047874664	7.77464516575583	-1.40426431196059	0.175061625240578	0.314256451235626	-5.86243800228509
AT3G55970	-2.38851150210757	-2.28450547489827	-1.40426197861805	0.175062310572104	0.314256451235626	-4.48514385606906
AT2G01060	0.113425019088523	5.60994791337724	1.40419572075159	0.175081772223021	0.314264625209577	-5.81009445038123
AT3G58550	0.475549850464811	6.64721334974991	1.40388581015448	0.175172824003206	0.314397202245624	-5.86333254954845
AT4G38220	-0.172280874639132	7.4143361837714	-1.40384280495275	0.175185461934398	0.314397202245624	-5.86432244969413
AT5G63050	-0.273654292860733	4.34817553043052	-1.40373727958011	0.17521647575222	0.314404498522627	-5.63870782140851
AT4G36032	0.154502206542031	4.48888474798295	1.40372747631672	0.175219357146292	0.314404498522627	-5.65913002643649
AT1G49900	-0.843124026243282	0.625512603904582	-1.40361630820204	0.175252034548477	0.314436368055315	-4.81878878607301
